DATE,value,element,STATION_ID
2020-07-21,0.0,SNOW,US1TXDA0069
2020-07-22,0.0,SNOW,US1TXDA0069
2020-07-23,0.0,SNOW,US1TXDA0069
2020-07-24,0.0,SNOW,US1TXDA0069
2020-07-25,0.0,SNOW,US1TXDA0069
2020-07-26,0.0,SNOW,US1TXDA0069
2020-07-28,0.0,SNOW,US1TXDA0069
2020-07-30,0.0,SNOW,US1TXDA0069
2020-08-01,0.0,PRCP,US1TXDA0069
2020-08-02,0.0,PRCP,US1TXDA0069
2020-08-03,0.0,PRCP,US1TXDA0069
2020-08-04,0.0,PRCP,US1TXDA0069
2020-08-05,0.0,PRCP,US1TXDA0069
2020-08-06,0.0,PRCP,US1TXDA0069
2020-08-07,0.0,PRCP,US1TXDA0069
2020-08-08,0.0,PRCP,US1TXDA0069
2020-08-09,0.0,PRCP,US1TXDA0069
2020-08-10,0.0,PRCP,US1TXDA0069
2020-08-11,0.0,PRCP,US1TXDA0069
2020-08-12,0.0,PRCP,US1TXDA0069
2020-08-13,0.0,PRCP,US1TXDA0069
2020-08-14,0.0,PRCP,US1TXDA0069
2020-08-15,0.0,PRCP,US1TXDA0069
2020-08-16,0.0,PRCP,US1TXDA0069
2020-08-17,17.5,PRCP,US1TXDA0069
2020-08-18,0.0,PRCP,US1TXDA0069
2020-08-19,0.0,PRCP,US1TXDA0069
2020-08-20,0.0,PRCP,US1TXDA0069
2020-08-21,0.0,PRCP,US1TXDA0069
2020-08-22,0.0,PRCP,US1TXDA0069
2020-08-23,0.0,PRCP,US1TXDA0069
2020-08-24,0.0,PRCP,US1TXDA0069
2020-08-25,0.0,PRCP,US1TXDA0069
2020-08-26,0.0,PRCP,US1TXDA0069
2020-08-27,5.8,PRCP,US1TXDA0069
2020-08-28,0.0,PRCP,US1TXDA0069
2020-08-29,0.0,PRCP,US1TXDA0069
2020-08-30,11.2,PRCP,US1TXDA0069
2020-08-31,6.4,PRCP,US1TXDA0069
2020-08-01,0.0,SNOW,US1TXDA0069
2020-08-02,0.0,SNOW,US1TXDA0069
2020-08-03,0.0,SNOW,US1TXDA0069
2020-08-04,0.0,SNOW,US1TXDA0069
2020-08-05,0.0,SNOW,US1TXDA0069
2020-08-06,0.0,SNOW,US1TXDA0069
2020-08-07,0.0,SNOW,US1TXDA0069
2020-08-08,0.0,SNOW,US1TXDA0069
2020-08-09,0.0,SNOW,US1TXDA0069
2020-08-10,0.0,SNOW,US1TXDA0069
2020-08-11,0.0,SNOW,US1TXDA0069
2020-08-12,0.0,SNOW,US1TXDA0069
2020-08-13,0.0,SNOW,US1TXDA0069
2020-08-14,0.0,SNOW,US1TXDA0069
2020-08-15,0.0,SNOW,US1TXDA0069
2020-08-16,0.0,SNOW,US1TXDA0069
2020-08-18,0.0,SNOW,US1TXDA0069
2020-08-19,0.0,SNOW,US1TXDA0069
2020-08-20,0.0,SNOW,US1TXDA0069
2020-08-21,0.0,SNOW,US1TXDA0069
2020-08-22,0.0,SNOW,US1TXDA0069
2020-08-23,0.0,SNOW,US1TXDA0069
2020-08-24,0.0,SNOW,US1TXDA0069
2020-08-25,0.0,SNOW,US1TXDA0069
2020-08-26,0.0,SNOW,US1TXDA0069
2020-08-28,0.0,SNOW,US1TXDA0069
2020-08-29,0.0,SNOW,US1TXDA0069
2020-09-01,0.0,PRCP,US1TXDA0069
2020-09-02,38.6,PRCP,US1TXDA0069
2020-09-03,6.6,PRCP,US1TXDA0069
2020-09-04,0.0,PRCP,US1TXDA0069
2020-09-05,0.0,PRCP,US1TXDA0069
2020-09-06,2.0,PRCP,US1TXDA0069
2020-09-07,0.0,PRCP,US1TXDA0069
2020-09-08,0.0,PRCP,US1TXDA0069
2020-09-09,0.0,PRCP,US1TXDA0069
2020-09-10,56.6,PRCP,US1TXDA0069
2020-09-11,0.0,PRCP,US1TXDA0069
2020-09-12,0.0,PRCP,US1TXDA0069
2020-09-13,0.0,PRCP,US1TXDA0069
2020-09-14,0.0,PRCP,US1TXDA0069
2020-09-15,0.0,PRCP,US1TXDA0069
2020-09-16,0.0,PRCP,US1TXDA0069
2020-09-17,0.0,PRCP,US1TXDA0069
2020-09-18,0.0,PRCP,US1TXDA0069
2020-09-19,0.0,PRCP,US1TXDA0069
2020-09-20,0.0,PRCP,US1TXDA0069
2020-09-21,0.0,PRCP,US1TXDA0069
2020-09-22,4.1,PRCP,US1TXDA0069
2020-09-23,7.6,PRCP,US1TXDA0069
2020-09-24,0.5,PRCP,US1TXDA0069
2020-09-25,0.0,PRCP,US1TXDA0069
2020-09-26,0.0,PRCP,US1TXDA0069
2020-09-27,0.0,PRCP,US1TXDA0069
2020-09-28,0.5,PRCP,US1TXDA0069
2020-09-29,0.0,PRCP,US1TXDA0069
2020-09-30,0.0,PRCP,US1TXDA0069
2020-09-01,0.0,SNOW,US1TXDA0069
2020-09-04,0.0,SNOW,US1TXDA0069
2020-09-05,0.0,SNOW,US1TXDA0069
2020-09-07,0.0,SNOW,US1TXDA0069
2020-09-08,0.0,SNOW,US1TXDA0069
2020-09-09,0.0,SNOW,US1TXDA0069
2020-09-11,0.0,SNOW,US1TXDA0069
2020-09-12,0.0,SNOW,US1TXDA0069
2020-09-13,0.0,SNOW,US1TXDA0069
2020-09-14,0.0,SNOW,US1TXDA0069
2020-09-15,0.0,SNOW,US1TXDA0069
2020-09-16,0.0,SNOW,US1TXDA0069
2020-09-17,0.0,SNOW,US1TXDA0069
2020-09-18,0.0,SNOW,US1TXDA0069
2020-09-19,0.0,SNOW,US1TXDA0069
2020-09-20,0.0,SNOW,US1TXDA0069
2020-09-21,0.0,SNOW,US1TXDA0069
2020-09-25,0.0,SNOW,US1TXDA0069
2020-09-26,0.0,SNOW,US1TXDA0069
2020-09-27,0.0,SNOW,US1TXDA0069
2020-09-29,0.0,SNOW,US1TXDA0069
2020-09-30,0.0,SNOW,US1TXDA0069
2020-10-01,0.0,PRCP,US1TXDA0069
2020-10-02,0.0,PRCP,US1TXDA0069
2020-10-03,0.0,PRCP,US1TXDA0069
2020-10-04,0.0,PRCP,US1TXDA0069
2020-10-05,0.0,PRCP,US1TXDA0069
2020-10-06,0.0,PRCP,US1TXDA0069
2020-10-07,0.0,PRCP,US1TXDA0069
2020-10-08,0.0,PRCP,US1TXDA0069
2020-10-09,0.0,PRCP,US1TXDA0069
2020-10-10,0.0,PRCP,US1TXDA0069
2020-10-11,0.0,PRCP,US1TXDA0069
2020-10-12,0.0,PRCP,US1TXDA0069
2020-10-13,0.0,PRCP,US1TXDA0069
2020-10-14,0.0,PRCP,US1TXDA0069
2020-10-15,0.0,PRCP,US1TXDA0069
2020-10-16,0.0,PRCP,US1TXDA0069
2020-10-17,0.0,PRCP,US1TXDA0069
2020-10-18,0.0,PRCP,US1TXDA0069
2020-10-19,0.0,PRCP,US1TXDA0069
2020-10-20,0.0,PRCP,US1TXDA0069
2020-10-21,0.0,PRCP,US1TXDA0069
2020-10-22,0.0,PRCP,US1TXDA0069
2020-10-23,12.7,PRCP,US1TXDA0069
2020-10-24,28.4,PRCP,US1TXDA0069
2020-10-25,0.0,PRCP,US1TXDA0069
2020-10-26,1.3,PRCP,US1TXDA0069
2020-10-27,6.6,PRCP,US1TXDA0069
2020-10-28,6.9,PRCP,US1TXDA0069
2020-10-29,6.6,PRCP,US1TXDA0069
2020-10-30,0.0,PRCP,US1TXDA0069
2020-10-31,0.0,PRCP,US1TXDA0069
2020-10-01,0.0,SNOW,US1TXDA0069
2020-10-02,0.0,SNOW,US1TXDA0069
2020-10-03,0.0,SNOW,US1TXDA0069
2020-10-04,0.0,SNOW,US1TXDA0069
2020-10-05,0.0,SNOW,US1TXDA0069
2020-10-06,0.0,SNOW,US1TXDA0069
2020-10-07,0.0,SNOW,US1TXDA0069
2020-10-08,0.0,SNOW,US1TXDA0069
2020-10-09,0.0,SNOW,US1TXDA0069
2020-10-10,0.0,SNOW,US1TXDA0069
2020-10-11,0.0,SNOW,US1TXDA0069
2020-10-12,0.0,SNOW,US1TXDA0069
2020-10-13,0.0,SNOW,US1TXDA0069
2020-10-14,0.0,SNOW,US1TXDA0069
2020-10-15,0.0,SNOW,US1TXDA0069
2020-10-16,0.0,SNOW,US1TXDA0069
2020-10-17,0.0,SNOW,US1TXDA0069
2020-10-18,0.0,SNOW,US1TXDA0069
2020-10-19,0.0,SNOW,US1TXDA0069
2020-10-20,0.0,SNOW,US1TXDA0069
2020-10-21,0.0,SNOW,US1TXDA0069
2020-10-22,0.0,SNOW,US1TXDA0069
2020-10-25,0.0,SNOW,US1TXDA0069
2020-10-30,0.0,SNOW,US1TXDA0069
2020-10-31,0.0,SNOW,US1TXDA0069
2020-11-01,0.0,PRCP,US1TXDA0069
2020-11-02,0.0,PRCP,US1TXDA0069
2020-11-03,0.0,PRCP,US1TXDA0069
2020-11-04,0.0,PRCP,US1TXDA0069
2020-11-05,0.0,PRCP,US1TXDA0069
2020-11-06,0.0,PRCP,US1TXDA0069
2020-11-07,0.0,PRCP,US1TXDA0069
2020-11-08,0.0,PRCP,US1TXDA0069
2020-11-09,0.0,PRCP,US1TXDA0069
2020-11-10,0.0,PRCP,US1TXDA0069
2020-11-11,0.0,PRCP,US1TXDA0069
2020-11-12,0.0,PRCP,US1TXDA0069
2020-11-13,0.0,PRCP,US1TXDA0069
2020-11-14,0.0,PRCP,US1TXDA0069
2020-11-15,0.0,PRCP,US1TXDA0069
2020-11-16,0.0,PRCP,US1TXDA0069
2020-11-17,0.0,PRCP,US1TXDA0069
2020-11-18,0.0,PRCP,US1TXDA0069
2020-11-19,0.0,PRCP,US1TXDA0069
2020-11-20,0.0,PRCP,US1TXDA0069
2020-11-21,0.0,PRCP,US1TXDA0069
2020-11-22,0.0,PRCP,US1TXDA0069
2020-11-23,0.0,PRCP,US1TXDA0069
2020-11-24,0.0,PRCP,US1TXDA0069
2020-11-25,15.7,PRCP,US1TXDA0069
2020-11-26,0.0,PRCP,US1TXDA0069
2020-11-27,0.0,PRCP,US1TXDA0069
2020-11-28,0.0,PRCP,US1TXDA0069
2020-11-29,11.7,PRCP,US1TXDA0069
2020-11-30,0.0,PRCP,US1TXDA0069
2020-11-01,0.0,SNOW,US1TXDA0069
2020-11-02,0.0,SNOW,US1TXDA0069
2020-11-03,0.0,SNOW,US1TXDA0069
2020-11-04,0.0,SNOW,US1TXDA0069
2020-11-05,0.0,SNOW,US1TXDA0069
2020-11-06,0.0,SNOW,US1TXDA0069
2020-11-07,0.0,SNOW,US1TXDA0069
2020-11-08,0.0,SNOW,US1TXDA0069
2020-11-09,0.0,SNOW,US1TXDA0069
2020-11-10,0.0,SNOW,US1TXDA0069
2020-11-11,0.0,SNOW,US1TXDA0069
2020-11-12,0.0,SNOW,US1TXDA0069
2020-11-13,0.0,SNOW,US1TXDA0069
2020-11-14,0.0,SNOW,US1TXDA0069
2020-11-15,0.0,SNOW,US1TXDA0069
2020-11-16,0.0,SNOW,US1TXDA0069
2020-11-17,0.0,SNOW,US1TXDA0069
2020-11-18,0.0,SNOW,US1TXDA0069
2020-11-19,0.0,SNOW,US1TXDA0069
2020-11-20,0.0,SNOW,US1TXDA0069
2020-11-21,0.0,SNOW,US1TXDA0069
2020-11-22,0.0,SNOW,US1TXDA0069
2020-11-23,0.0,SNOW,US1TXDA0069
2020-11-24,0.0,SNOW,US1TXDA0069
2020-11-26,0.0,SNOW,US1TXDA0069
2020-11-27,0.0,SNOW,US1TXDA0069
2020-11-28,0.0,SNOW,US1TXDA0069
2020-11-30,0.0,SNOW,US1TXDA0069
2020-12-01,0.0,PRCP,US1TXDA0069
2020-12-02,0.0,PRCP,US1TXDA0069
2020-12-03,0.5,PRCP,US1TXDA0069
2020-12-04,0.0,PRCP,US1TXDA0069
2020-12-05,0.0,PRCP,US1TXDA0069
2020-12-06,0.0,PRCP,US1TXDA0069
2020-12-07,0.0,PRCP,US1TXDA0069
2020-12-08,0.0,PRCP,US1TXDA0069
2020-12-09,0.0,PRCP,US1TXDA0069
2020-12-10,0.0,PRCP,US1TXDA0069
2020-12-11,0.0,PRCP,US1TXDA0069
2020-12-12,5.8,PRCP,US1TXDA0069
2020-12-13,0.0,PRCP,US1TXDA0069
2020-12-14,26.7,PRCP,US1TXDA0069
2020-12-15,0.0,PRCP,US1TXDA0069
2020-12-16,1.5,PRCP,US1TXDA0069
2020-12-17,0.0,PRCP,US1TXDA0069
2020-12-18,0.0,PRCP,US1TXDA0069
2020-12-19,0.5,PRCP,US1TXDA0069
2020-12-20,0.0,PRCP,US1TXDA0069
2020-12-21,0.0,PRCP,US1TXDA0069
2020-12-22,0.0,PRCP,US1TXDA0069
2020-12-23,0.0,PRCP,US1TXDA0069
2020-12-24,0.0,PRCP,US1TXDA0069
2020-12-25,0.0,PRCP,US1TXDA0069
2020-12-26,0.0,PRCP,US1TXDA0069
2020-12-27,0.0,PRCP,US1TXDA0069
2020-12-28,0.0,PRCP,US1TXDA0069
2020-12-29,0.8,PRCP,US1TXDA0069
2020-12-30,6.4,PRCP,US1TXDA0069
2020-12-31,19.8,PRCP,US1TXDA0069
2020-12-01,0.0,SNOW,US1TXDA0069
2020-12-02,0.0,SNOW,US1TXDA0069
2020-12-04,0.0,SNOW,US1TXDA0069
2020-12-05,0.0,SNOW,US1TXDA0069
2020-12-06,0.0,SNOW,US1TXDA0069
2020-12-07,0.0,SNOW,US1TXDA0069
2020-12-08,0.0,SNOW,US1TXDA0069
2020-12-09,0.0,SNOW,US1TXDA0069
2020-12-10,0.0,SNOW,US1TXDA0069
2020-12-11,0.0,SNOW,US1TXDA0069
2020-12-13,0.0,SNOW,US1TXDA0069
2020-12-15,0.0,SNOW,US1TXDA0069
2020-12-17,0.0,SNOW,US1TXDA0069
2020-12-18,0.0,SNOW,US1TXDA0069
2020-12-20,0.0,SNOW,US1TXDA0069
2020-12-21,0.0,SNOW,US1TXDA0069
2020-12-22,0.0,SNOW,US1TXDA0069
2020-12-23,0.0,SNOW,US1TXDA0069
2020-12-24,0.0,SNOW,US1TXDA0069
2020-12-25,0.0,SNOW,US1TXDA0069
2020-12-26,0.0,SNOW,US1TXDA0069
2020-12-27,0.0,SNOW,US1TXDA0069
2020-12-28,0.0,SNOW,US1TXDA0069
2021-01-01,60.7,PRCP,US1TXDA0069
2021-01-02,0.5,PRCP,US1TXDA0069
2021-01-03,0.0,PRCP,US1TXDA0069
2021-01-04,0.0,PRCP,US1TXDA0069
2021-01-05,0.0,PRCP,US1TXDA0069
2021-01-06,0.0,PRCP,US1TXDA0069
2021-01-07,1.8,PRCP,US1TXDA0069
2021-01-08,0.0,PRCP,US1TXDA0069
2021-01-09,0.0,PRCP,US1TXDA0069
2021-01-10,0.0,PRCP,US1TXDA0069
2021-01-11,3.0,PRCP,US1TXDA0069
2021-01-12,0.0,PRCP,US1TXDA0069
2021-01-13,0.0,PRCP,US1TXDA0069
2021-01-14,0.0,PRCP,US1TXDA0069
2021-01-15,0.0,PRCP,US1TXDA0069
2021-01-16,0.0,PRCP,US1TXDA0069
2021-01-17,0.0,PRCP,US1TXDA0069
2021-01-18,0.0,PRCP,US1TXDA0069
2021-01-19,4.1,PRCP,US1TXDA0069
2021-01-20,0.5,PRCP,US1TXDA0069
2021-01-21,0.3,PRCP,US1TXDA0069
2021-01-22,5.8,PRCP,US1TXDA0069
2021-01-23,0.5,PRCP,US1TXDA0069
2021-01-24,2.5,PRCP,US1TXDA0069
2021-01-25,23.9,PRCP,US1TXDA0069
2021-01-26,0.0,PRCP,US1TXDA0069
2021-01-27,0.0,PRCP,US1TXDA0069
2021-01-28,0.0,PRCP,US1TXDA0069
2021-01-29,0.0,PRCP,US1TXDA0069
2021-01-30,0.0,PRCP,US1TXDA0069
2021-01-31,1.0,PRCP,US1TXDA0069
2021-01-03,0.0,SNOW,US1TXDA0069
2021-01-04,0.0,SNOW,US1TXDA0069
2021-01-05,0.0,SNOW,US1TXDA0069
2021-01-06,0.0,SNOW,US1TXDA0069
2021-01-08,0.0,SNOW,US1TXDA0069
2021-01-09,0.0,SNOW,US1TXDA0069
2021-01-10,0.0,SNOW,US1TXDA0069
2021-01-11,0.0,SNOW,US1TXDA0069
2021-01-12,0.0,SNOW,US1TXDA0069
2021-01-13,0.0,SNOW,US1TXDA0069
2021-01-14,0.0,SNOW,US1TXDA0069
2021-01-15,0.0,SNOW,US1TXDA0069
2021-01-16,0.0,SNOW,US1TXDA0069
2021-01-17,0.0,SNOW,US1TXDA0069
2021-01-18,0.0,SNOW,US1TXDA0069
2021-01-26,0.0,SNOW,US1TXDA0069
2021-01-27,0.0,SNOW,US1TXDA0069
2021-01-28,0.0,SNOW,US1TXDA0069
2021-01-29,0.0,SNOW,US1TXDA0069
2021-01-30,0.0,SNOW,US1TXDA0069
2021-01-11,0.0,SNWD,US1TXDA0069
2021-02-01,0.0,PRCP,US1TXDA0069
2021-02-02,0.0,PRCP,US1TXDA0069
2021-02-03,0.0,PRCP,US1TXDA0069
2021-02-04,0.0,PRCP,US1TXDA0069
2021-02-05,0.0,PRCP,US1TXDA0069
2021-02-06,0.0,PRCP,US1TXDA0069
2021-02-07,0.0,PRCP,US1TXDA0069
2021-02-08,0.0,PRCP,US1TXDA0069
2021-02-09,0.0,PRCP,US1TXDA0069
2021-02-10,0.0,PRCP,US1TXDA0069
2021-02-11,0.3,PRCP,US1TXDA0069
2021-02-12,0.0,PRCP,US1TXDA0069
2021-02-13,0.0,PRCP,US1TXDA0069
2021-02-14,2.5,PRCP,US1TXDA0069
2021-02-19,0.0,PRCP,US1TXDA0069
2021-02-20,0.0,PRCP,US1TXDA0069
2021-02-21,0.0,PRCP,US1TXDA0069
2021-02-22,0.0,PRCP,US1TXDA0069
2021-02-23,0.0,PRCP,US1TXDA0069
2021-02-24,0.0,PRCP,US1TXDA0069
2021-02-25,0.0,PRCP,US1TXDA0069
2021-02-26,24.9,PRCP,US1TXDA0069
2021-02-27,0.5,PRCP,US1TXDA0069
2021-02-28,3.6,PRCP,US1TXDA0069
2021-02-01,0.0,SNOW,US1TXDA0069
2021-02-02,0.0,SNOW,US1TXDA0069
2021-02-03,0.0,SNOW,US1TXDA0069
2021-02-04,0.0,SNOW,US1TXDA0069
2021-02-05,0.0,SNOW,US1TXDA0069
2021-02-06,0.0,SNOW,US1TXDA0069
2021-02-07,0.0,SNOW,US1TXDA0069
2021-02-08,0.0,SNOW,US1TXDA0069
2021-02-09,0.0,SNOW,US1TXDA0069
2021-02-10,0.0,SNOW,US1TXDA0069
2021-02-12,0.0,SNOW,US1TXDA0069
2021-02-13,0.0,SNOW,US1TXDA0069
2021-02-14,0.0,SNOW,US1TXDA0069
2021-02-19,0.0,SNOW,US1TXDA0069
2021-02-20,0.0,SNOW,US1TXDA0069
2021-02-21,0.0,SNOW,US1TXDA0069
2021-02-22,0.0,SNOW,US1TXDA0069
2021-02-23,0.0,SNOW,US1TXDA0069
2021-02-24,0.0,SNOW,US1TXDA0069
2021-02-25,0.0,SNOW,US1TXDA0069
2021-03-01,1.0,PRCP,US1TXDA0069
2021-03-02,0.0,PRCP,US1TXDA0069
2021-03-03,0.0,PRCP,US1TXDA0069
2021-03-04,1.0,PRCP,US1TXDA0069
2021-03-05,0.0,PRCP,US1TXDA0069
2021-03-06,0.0,PRCP,US1TXDA0069
2021-03-07,0.0,PRCP,US1TXDA0069
2021-03-08,0.0,PRCP,US1TXDA0069
2021-03-09,0.0,PRCP,US1TXDA0069
2021-03-10,0.0,PRCP,US1TXDA0069
2021-03-11,0.0,PRCP,US1TXDA0069
2021-03-12,0.0,PRCP,US1TXDA0069
2021-03-13,0.0,PRCP,US1TXDA0069
2021-03-14,2.3,PRCP,US1TXDA0069
2021-03-15,0.0,PRCP,US1TXDA0069
2021-03-16,0.0,PRCP,US1TXDA0069
2021-03-17,22.6,PRCP,US1TXDA0069
2021-03-18,0.0,PRCP,US1TXDA0069
2021-03-19,0.0,PRCP,US1TXDA0069
2021-03-20,0.0,PRCP,US1TXDA0069
2021-03-21,0.0,PRCP,US1TXDA0069
2021-03-22,0.0,PRCP,US1TXDA0069
2021-03-23,23.9,PRCP,US1TXDA0069
2021-03-24,0.0,PRCP,US1TXDA0069
2021-03-25,23.1,PRCP,US1TXDA0069
2021-03-26,0.0,PRCP,US1TXDA0069
2021-03-27,0.0,PRCP,US1TXDA0069
2021-03-28,0.0,PRCP,US1TXDA0069
2021-03-29,0.0,PRCP,US1TXDA0069
2021-03-30,0.0,PRCP,US1TXDA0069
2021-03-31,0.0,PRCP,US1TXDA0069
2021-03-02,0.0,SNOW,US1TXDA0069
2021-03-03,0.0,SNOW,US1TXDA0069
2021-03-05,0.0,SNOW,US1TXDA0069
2021-03-06,0.0,SNOW,US1TXDA0069
2021-03-07,0.0,SNOW,US1TXDA0069
2021-03-08,0.0,SNOW,US1TXDA0069
2021-03-09,0.0,SNOW,US1TXDA0069
2021-03-10,0.0,SNOW,US1TXDA0069
2021-03-11,0.0,SNOW,US1TXDA0069
2021-03-12,0.0,SNOW,US1TXDA0069
2021-03-13,0.0,SNOW,US1TXDA0069
2021-03-15,0.0,SNOW,US1TXDA0069
2021-03-16,0.0,SNOW,US1TXDA0069
2021-03-18,0.0,SNOW,US1TXDA0069
2021-03-19,0.0,SNOW,US1TXDA0069
2021-03-20,0.0,SNOW,US1TXDA0069
2021-03-21,0.0,SNOW,US1TXDA0069
2021-03-22,0.0,SNOW,US1TXDA0069
2021-03-24,0.0,SNOW,US1TXDA0069
2021-03-26,0.0,SNOW,US1TXDA0069
2021-03-27,0.0,SNOW,US1TXDA0069
2021-03-28,0.0,SNOW,US1TXDA0069
2021-03-29,0.0,SNOW,US1TXDA0069
2021-03-30,0.0,SNOW,US1TXDA0069
2021-03-31,0.0,SNOW,US1TXDA0069
2021-04-01,0.0,PRCP,US1TXDA0069
2021-04-02,0.0,PRCP,US1TXDA0069
2021-04-03,0.0,PRCP,US1TXDA0069
2021-04-04,0.0,PRCP,US1TXDA0069
2021-04-05,0.0,PRCP,US1TXDA0069
2021-04-06,0.0,PRCP,US1TXDA0069
2021-04-07,0.0,PRCP,US1TXDA0069
2021-04-08,0.0,PRCP,US1TXDA0069
2021-04-09,0.0,PRCP,US1TXDA0069
2021-04-10,0.0,PRCP,US1TXDA0069
2021-04-11,0.0,PRCP,US1TXDA0069
2021-04-12,0.0,PRCP,US1TXDA0069
2021-04-13,2.5,PRCP,US1TXDA0069
2021-04-14,0.0,PRCP,US1TXDA0069
2021-04-15,1.3,PRCP,US1TXDA0069
2021-04-16,14.5,PRCP,US1TXDA0069
2021-04-17,0.0,PRCP,US1TXDA0069
2021-04-18,0.0,PRCP,US1TXDA0069
2021-04-19,0.0,PRCP,US1TXDA0069
2021-04-20,0.0,PRCP,US1TXDA0069
2021-04-21,0.0,PRCP,US1TXDA0069
2021-04-22,0.0,PRCP,US1TXDA0069
2021-04-23,0.0,PRCP,US1TXDA0069
2021-04-24,29.5,PRCP,US1TXDA0069
2021-04-25,0.0,PRCP,US1TXDA0069
2021-04-26,0.0,PRCP,US1TXDA0069
2021-04-27,0.0,PRCP,US1TXDA0069
2021-04-28,0.8,PRCP,US1TXDA0069
2021-04-29,42.4,PRCP,US1TXDA0069
2021-04-30,15.2,PRCP,US1TXDA0069
2021-04-01,0.0,SNOW,US1TXDA0069
2021-04-02,0.0,SNOW,US1TXDA0069
2021-04-03,0.0,SNOW,US1TXDA0069
2021-04-04,0.0,SNOW,US1TXDA0069
2021-04-05,0.0,SNOW,US1TXDA0069
2021-04-06,0.0,SNOW,US1TXDA0069
2021-04-07,0.0,SNOW,US1TXDA0069
2021-04-08,0.0,SNOW,US1TXDA0069
2021-04-09,0.0,SNOW,US1TXDA0069
2021-04-10,0.0,SNOW,US1TXDA0069
2021-04-11,0.0,SNOW,US1TXDA0069
2021-04-12,0.0,SNOW,US1TXDA0069
2021-04-14,0.0,SNOW,US1TXDA0069
2021-04-17,0.0,SNOW,US1TXDA0069
2021-04-18,0.0,SNOW,US1TXDA0069
2021-04-19,0.0,SNOW,US1TXDA0069
2021-04-20,0.0,SNOW,US1TXDA0069
2021-04-21,0.0,SNOW,US1TXDA0069
2021-04-22,0.0,SNOW,US1TXDA0069
2021-04-23,0.0,SNOW,US1TXDA0069
2021-04-25,0.0,SNOW,US1TXDA0069
2021-04-26,0.0,SNOW,US1TXDA0069
2021-04-27,0.0,SNOW,US1TXDA0069
2021-05-01,0.5,PRCP,US1TXDA0069
2021-05-02,3.3,PRCP,US1TXDA0069
2021-05-03,0.0,PRCP,US1TXDA0069
2021-05-04,13.5,PRCP,US1TXDA0069
2021-05-05,0.0,PRCP,US1TXDA0069
2021-05-06,0.0,PRCP,US1TXDA0069
2021-05-07,0.0,PRCP,US1TXDA0069
2021-05-08,0.0,PRCP,US1TXDA0069
2021-05-09,0.0,PRCP,US1TXDA0069
2021-05-11,8.4,PRCP,US1TXDA0069
2021-05-12,22.4,PRCP,US1TXDA0069
2021-05-13,0.0,PRCP,US1TXDA0069
2021-05-14,0.0,PRCP,US1TXDA0069
2021-05-15,0.0,PRCP,US1TXDA0069
2021-05-16,0.0,PRCP,US1TXDA0069
2021-05-17,25.9,PRCP,US1TXDA0069
2021-05-18,3.8,PRCP,US1TXDA0069
2021-05-19,13.0,PRCP,US1TXDA0069
2021-05-20,0.5,PRCP,US1TXDA0069
2021-05-21,1.0,PRCP,US1TXDA0069
2021-05-22,0.3,PRCP,US1TXDA0069
2021-05-23,5.8,PRCP,US1TXDA0069
2021-05-24,0.5,PRCP,US1TXDA0069
2021-05-25,7.1,PRCP,US1TXDA0069
2021-05-26,17.0,PRCP,US1TXDA0069
2021-05-27,0.0,PRCP,US1TXDA0069
2021-05-28,0.5,PRCP,US1TXDA0069
2021-05-29,0.0,PRCP,US1TXDA0069
2021-05-30,0.0,PRCP,US1TXDA0069
2021-05-31,0.0,PRCP,US1TXDA0069
2021-05-03,0.0,SNOW,US1TXDA0069
2021-05-05,0.0,SNOW,US1TXDA0069
2021-05-06,0.0,SNOW,US1TXDA0069
2021-05-07,0.0,SNOW,US1TXDA0069
2021-05-08,0.0,SNOW,US1TXDA0069
2021-05-09,0.0,SNOW,US1TXDA0069
2021-05-13,0.0,SNOW,US1TXDA0069
2021-05-14,0.0,SNOW,US1TXDA0069
2021-05-15,0.0,SNOW,US1TXDA0069
2021-05-16,0.0,SNOW,US1TXDA0069
2021-05-27,0.0,SNOW,US1TXDA0069
2021-05-29,0.0,SNOW,US1TXDA0069
2021-05-30,0.0,SNOW,US1TXDA0069
2021-05-31,0.0,SNOW,US1TXDA0069
2021-06-01,27.2,PRCP,US1TXDA0069
2021-06-02,0.0,PRCP,US1TXDA0069
2021-06-03,0.0,PRCP,US1TXDA0069
2021-06-04,0.0,PRCP,US1TXDA0069
2021-06-05,7.6,PRCP,US1TXDA0069
2021-06-06,2.3,PRCP,US1TXDA0069
2021-06-07,0.0,PRCP,US1TXDA0069
2021-06-08,0.0,PRCP,US1TXDA0069
2021-06-09,11.7,PRCP,US1TXDA0069
2021-06-10,0.0,PRCP,US1TXDA0069
2021-06-11,0.0,PRCP,US1TXDA0069
2021-06-12,0.0,PRCP,US1TXDA0069
2021-06-13,1.0,PRCP,US1TXDA0069
2021-06-14,0.0,PRCP,US1TXDA0069
2021-06-15,0.0,PRCP,US1TXDA0069
2021-06-16,0.0,PRCP,US1TXDA0069
2021-06-17,0.0,PRCP,US1TXDA0069
2021-06-18,0.0,PRCP,US1TXDA0069
2021-06-19,0.0,PRCP,US1TXDA0069
2021-06-20,0.0,PRCP,US1TXDA0069
2021-06-21,0.0,PRCP,US1TXDA0069
2021-06-22,1.8,PRCP,US1TXDA0069
2021-06-23,0.0,PRCP,US1TXDA0069
2021-06-24,0.0,PRCP,US1TXDA0069
